,influencer_name,similarity
984,Elvin Jones,2.252806423332312
579,Charlie Sexton,2.247756002643982
2163,Michael Nesmith,2.245919140076654
1752,Keith Richards,2.2134744244278983
2475,Pete Johnson,2.1969183164595867
1761,Ken Boothe,2.191282516517968
3251,The Godz,2.157159841503584
1275,Hank Ballard,2.1505062218295192
3386,The Real Kids,2.149519928832922
100,Alpha Blondy,2.1494199486694123
3320,The Melodians,2.147941259455987
1387,Inspiral Carpets,2.1453827189654144
903,Doug Sahm,2.136967975930084
2992,Strung Out,2.1307750249172934
2191,Milt Hinton,2.12650027909069
1667,Jon Hendricks,2.121837411718199
297,Big Joe Williams,2.1094225625946947
3403,The Ronettes,2.108094613111946
2963,Steve Forbert,2.1032070499828937
190,At the Gates,2.1020675702143103
1288,Happy Mondays,2.0943705585273737
3643,Unsane,2.0912580387034083
87,Alien Sex Fiend,2.0895526331809027
1407,J.B. Lenoir,2.082766974741331
3566,Tom Verlaine,2.0738981949514685
3248,The Get Up Kids,2.0559035487663433
6,20/20,2.0374699728135552
1847,Larry Heard,2.0266741889868873
1581,Joe Tex,2.0157639016040396
1567,Joe Ely,2.0129655230015078
1991,Luna,2.003514349748077
3748,Wreckless Eric,2.0024667788327886
2252,Mudhoney,1.9921886947531284
3262,The House of Love,1.9735482064888152
628,Chumbawamba,1.9698809854384542
2372,"Oscar Brown, Jr.",1.9484279019939441
3008,Sunny Day Real Estate,1.9410434033484687
543,Cassandra Wilson,1.934908110700959
288,Beverley Knight,1.9340079319015628
3461,The Toasters,1.9296581452736612
2438,Paul Weller,1.920291663556071
2646,Rick Nielsen,1.9120361049587136
311,Bill Frisell,1.9088716641110004
635,Cissy Houston,1.9044689743287897
17,A Guy Called Gerald,1.9044164957853984
1124,Freedy Johnston,1.9042794717832379
2699,Roky Erickson,1.8983012351018351
809,Death in Vegas,1.8968349626395766
1058,Felix da Housecat,1.8944935195463248
2288,Ned's Atomic Dustbin,1.8875463101124537
2410,Pato Banton,1.8848762219340753
502,CamarÃ³n de la Isla,1.8725199644322035
3741,Wizzard,1.8711957902283243
3362,The Penguins,1.8708904516951113
3011,Superchunk,1.867950488251081
2033,Malvina Reynolds,1.8626239827773388
878,Don Covay,1.8530748776159762
1842,Lambchop,1.8530663716205225
15,A Certain Ratio,1.8529887603452035
249,Beat Happening,1.8499047476303565
3176,The Country Gentlemen,1.8491274057786704
3554,Todd Terry,1.8447717206934424
2678,Roberto Menescal,1.8407325548840359
1102,Frankie Knuckles,1.8405553683266707
2341,Nusrat Fateh Ali Khan,1.8402677261743339
777,David Essex,1.8390430555693842
3704,Wendy & Lisa,1.8383872052659327
1548,Jimmy Witherspoon,1.8322284491283878
3364,The Pioneers,1.8271113480134487
3387,The Records,1.8242144078625115
1653,Johnny Otis,1.8196800146028937
2202,Miracle Legion,1.8188060942639186
2707,Ronnie Lane,1.8167796536761167
2700,Rollins Band,1.8151940327793923
3350,The Only Ones,1.8112724891271486
3118,The Birthday Party,1.8079161905395031
2832,Shonen Knife,1.8025535205703123
1276,Hank Crawford,1.793755125835817
442,Brian Setzer,1.7888498578633638
1570,Joe Liggins,1.7887314044229425
2593,Randy Rhoads,1.7750352247623555
3004,Suicide,1.7703116210686436
1169,Gene Vincent,1.7682674564311913
3325,The Mills Brothers,1.7658845323997125
3534,Tim Hardin,1.7638120467167095
302,Big Youth,1.7635462585690533
2311,New York Dolls,1.7634740365082118
1285,Hanoi Rocks,1.7546066185326186
3559,Tom Paxton,1.7533609496146567
825,Delta 5,1.7313946526727022
2564,Quicksand,1.7261220526673153
2442,Paul van Dyk,1.7221598330320194
90,All,1.715709780463292
2268,NRBQ,1.7124323716106589
678,Cornelius,1.7090947470985736
2299,Neu!,1.7088999319942813
3269,The Innocence Mission,1.7069730344188934
1584,Joey Dee,1.7048836142124457
1894,Let's Active,1.6995239290097248
692,Craig Armstrong,1.6991951907580438
2640,Richard Thompson,1.6990834469529323
994,Emperor,1.693061132667926
1735,Kate & Anna McGarrigle,1.6869641708244976
1556,Joan Osborne,1.661101300922998
3681,Visage,1.66020388762883
898,Doris Troy,1.658133432230574
932,East 17,1.6506853469709708
2932,Spiritualized,1.649778104048952
117,AndraÃ© Crouch,1.6416920806688728
669,Comus,1.6357535546785749
287,Beulah,1.632750251128112
3001,Sugar Minott,1.6319782504823148
2547,Prince Buster,1.63143738062873
2492,Petula Clark,1.6307598904227811
959,EdÃº Lobo,1.6258476553828687
3351,The Orb,1.6224160035778705
968,Elastica,1.6216291238272385
213,Babes in Toyland,1.6120264048252033
2549,Prince Jazzbo,1.6057062958680153
549,Catherine Wheel,1.604636460413287
1052,Fats Navarro,1.6027277652616438
1645,Johnny Jenkins,1.5954631895984537
3224,The Fall,1.589202435316703
3479,The Vaselines,1.5852623943009716
2072,Mark Lanegan,1.583870137335473
527,Carlene Carter,1.5821983644678261
1189,Georgie Fame,1.572681818704024
1591,John Cage,1.5630501034736628
2010,MC5,1.5562822170297401
2622,Refused,1.55489669590521
1184,George Russell,1.5528667169779666
2221,Mojave 3,1.5515514185005854
1539,Jimmy Martin,1.5509230347486616
1403,Ivie Anderson,1.5481047274947508
1481,Jeannie C. Riley,1.5446265116297864
3528,Throbbing Gristle,1.5399593371450784
1230,Goldie,1.5342975920854434
847,Dick Dale,1.5319043007231061
3491,The Wedding Present,1.5316543058213918
2408,Pat Martino,1.5308528801347503
2676,Robert Wyatt,1.5293629488302667
3731,Willie Nile,1.5292804275843679
2297,Neneh Cherry,1.5270082747896234
2008,M/A/R/R/S,1.5246210234640578
3298,The Left Banke,1.521323873705633
349,Blind Boy Fuller,1.5201151342227963
358,Blue Cheer,1.5186026290366492
659,Colin Blunstone,1.5160754384003008
1253,Green River,1.514081464999711
2503,Philly Joe Jones,1.513862917318681
2970,Steve Martin,1.498272189461317
3436,The Stanley Brothers,1.4976932572409063
3649,Utah Saints,1.4896586924654738
1599,John Entwistle,1.4859550404200532
2142,Meredith Monk,1.4764081327453094
3068,Television Personalities,1.4756011894176249
686,Courtney Love,1.4670692383031865
2042,Mannheim Steamroller,1.465010620519343
3046,Take That,1.4633802917023906
619,Christy Moore,1.4623543502109415
1423,Jackie Mittoo,1.4541404592624134
2336,Noel Redding,1.4388202859162318
573,Charlie Haden,1.4384481354067995
234,Barrett Strong,1.437579121062926
3130,The Boo Radleys,1.4367432046010782
2165,Michael Penn,1.4359262810802824
3249,The Go-Betweens,1.4332490834507048
3637,Ultravox,1.4305388993993085
2518,Plastic Bertrand,1.4263799595301063
3103,The Art of Noise,1.4236678481589968
1349,Hoyt Axton,1.4201924000546644
3131,The Boomtown Rats,1.419141345848504
2880,Small Faces,1.4181647855157056
1565,Joe Cuba,1.4137854659901248
536,Carolyn Hester,1.4129413818273944
2860,Slade,1.410092685745991
3789,Zucchero,1.407884850715833
2760,Samiam,1.4006753586001146
2002,Lyres,1.3977544995577262
3370,The Pop Group,1.3944092828617196
301,Big Walter Horton,1.3937211562832998
1545,Jimmy Rogers,1.3929957238355575
1187,George Thorogood,1.392956128110403
1029,Every Avenue,1.3910072106013347
3441,The Stooges,1.3904222303910128
2661,Rites of Spring,1.3898427698751485
1510,Jesse Belvin,1.387474207494647
407,"Bonnie ""Prince"" Billy",1.3796057141535247
2756,Sam Phillips,1.3793954452881951
1168,Gene Simmons,1.3753028531386782
1712,Junior Parker,1.3741882560219825
3435,The Standells,1.3737878417531042
605,Chris Kenner,1.3724525421657479
2672,Robert Klein,1.3724274739460194
2886,Smoking Popes,1.370139494347077
2981,Steven Tyler,1.3665007213717708
3620,Tullycraft,1.3664262746742781
1480,Jeanne Moreau,1.3646714946579221
2300,Neurosis,1.3640124504217965
2755,Sam Kinison,1.363936395042843
3371,The Posies,1.3626333711658238
1532,Jimmy Bryant,1.3624691705729457
3276,The Jayhawks,1.3568753603719168
2551,Professor Longhair,1.3534856306471006
680,Cornell Campbell,1.351332739662031
2883,Smokey Robinson,1.3500329826863395
785,David Johansen,1.349140771082327
1534,Jimmy Castor,1.3446240662582345
2169,Mick Jagger,1.3430130425406255
189,Aswad,1.3411443941065897
21,A.R. Kane,1.3402393496906444
2967,Steve Howe,1.336207447173429
2695,Roger McGuinn,1.3341130747459842
3067,Television,1.33077500637177
1304,Hawkwind,1.3307019249140797
1153,Gary Numan,1.3298207953940298
1544,Jimmy Reed,1.3285994469232458
741,Dance Hall Crashers,1.3278432723187645
2282,Natalie Imbruglia,1.3276038266699588
2138,Menudo,1.3272751211156848
3406,The Rutles,1.3270972433179056
3613,Trio,1.3267577106922215
1979,Low,1.3250530804938845
725,D.O.A.,1.3232913090621061
3072,Terence Trent D'Arby,1.3222003637975783
975,Elizabeth Cotten,1.3219318192346918
654,Cocoa Tea,1.3218459066017547
2439,Paul Westerberg,1.321602543245164
439,Brian May,1.3207061474344373
554,Celtic Frost,1.3196570356032205
1789,King Tubby,1.315725143491156
1586,Joey Ramone,1.3102466286997607
3572,Tommy James,1.3070731456163494
1514,Jessica Andrews,1.3061325727135509
1477,Jean Shepard,1.2955463753190641
1490,Jellyfish,1.2948303162827073
240,Basement Jaxx,1.2934367988152287
2894,Soft Machine,1.2850395832066208
2736,Rufus Thomas,1.28451875696296
1648,Johnny Mandel,1.2828935737342302
3135,The Brand New Heavies,1.2825775248612463
2245,Mott the Hoople,1.2796728225824678
3054,Tangerine Dream,1.2721241112181618
72,Alejandro Escovedo,1.2697303690147017
1680,Josey Wales,1.2696175738460571
938,"Eddie ""Cleanhead"" Vinson",1.2669761536606545
1615,John Mayall,1.2635240571546134
49,Aimee Mann,1.2622169100749918
1274,Hamza el Din,1.2593527909311841
876,Don Byas,1.2575336105382544
2000,Lynn Anderson,1.2519038998601963
3340,The Music Machine,1.2517420267505879
3200,The Dickies,1.2487516080080856
3198,The Delta Rhythm Boys,1.2457075331680316
2180,Mike Oldfield,1.2447119101903066
2420,Patty Duke,1.2425153632107628
954,Edgar Froese,1.2411911775295974
3091,The Adverts,1.2402386635954514
1673,Jonathan Winters,1.2371473464506368
942,Eddie Floyd,1.2349386641358058
2595,Raphael Saadiq,1.231474925038068
1289,Harold Arlen,1.2293090708954346
155,Anvil,1.2274883268547554
1208,Giorgio Moroder,1.226127514930082
1994,Luther Allison,1.2186797568593843
1088,Four Tet,1.2146337366653666
2555,Public Image Ltd.,1.2101235071136156
896,Dori Caymmi,1.2058740831039618
1776,Killing Joke,1.204873631519097
2181,Mike Seeger,1.2045654406849762
2541,Primal Scream,1.204509012189548
1244,Gram Parsons,1.2032770077049202
2642,Richie Spice,1.203033545028437
2529,Pop Will Eat Itself,1.1992288634983137
2636,Richard Ashcroft,1.1947374795924584
1241,Graham Central Station,1.1930452317838354
3504,The Yardbirds,1.1909963184696337
3551,Todd Edwards,1.1891726489582726
1485,Jeff Lynne,1.1891674339608607
981,Elmore James,1.1881286345663213
593,Chic,1.1859931518433573
2727,Roy Harper,1.1836234636957397
2888,Sneaker Pimps,1.175614558262225
702,Crime & the City Solution,1.175554958536436
711,Crystal Gayle,1.1728150439149247
2878,Sly & Robbie,1.1708249429442
1047,Faron Young,1.1689959649254622
574,Charlie Louvin,1.167951838982046
471,Buddy Guy,1.166754983455177
2618,Red House Painters,1.1645244765347362
284,Betty Harris,1.1634195716648554
1231,Gong,1.161744812437177
924,Eagle-Eye Cherry,1.1599313265079123
3129,The Bonzo Dog Band,1.1569008265007863
3126,The Blues Project,1.1564989925186544
3659,Vanilla Fudge,1.1558112625591663
1560,Jody Watley,1.1516877235582441
1365,Ian & Sylvia,1.1411832865148168
2269,Nada Surf,1.1407616287451854
1215,Glassjaw,1.1397561736585318
3701,Webb Pierce,1.135196687691128
3066,Teenage Fanclub,1.1347431973884006
1518,Jets to Brazil,1.1345629919613374
3411,The Seeds,1.133524598895209
389,Bobby Hackett,1.1316610713742388
2936,Squarepusher,1.13126224354526
698,Cream,1.1312552063950119
3409,The Sea and Cake,1.1312191356700045
3169,The Coasters,1.130662367186175
1925,Little Jimmy Scott,1.1297385297437579
2531,Popol Vuh,1.1288676224422447
1431,Jacques Brel,1.1260300149315572
779,David Frizzell,1.1255386003337005
231,Barclay James Harvest,1.1252656669657837
298,Big Mama Thornton,1.1212922310145936
94,Alla Rakha,1.120894124453926
1006,Eric Burdon,1.1206029870848193
2018,Machines of Loving Grace,1.120543977399662
591,Chet Atkins,1.1156716682730714
1144,Gang of Four,1.1153678384588108
570,Charlie Christian,1.1138538450559177
379,Bob Wills,1.107781612330005
3776,Young Marble Giants,1.1074527680887603
3227,The Five Keys,1.098830161339318
1339,Hot Water Music,1.0986559991757077
267,Beny MorÃ©,1.0986270593010112
2819,Shellac,1.0978986427227129
2837,Silver Apples,1.096627777320516
2041,Manic Street Preachers,1.0940863584670755
3303,The Lightning Seeds,1.0913171259038688
1351,Hubert Sumlin,1.0876297601493883
145,Annihilator,1.0865206285670312
2653,Ride,1.085238174252359
1114,Fred Neil,1.083516496275683
3023,Swans,1.0826412544347461
105,Alton Ellis,1.0811680570490336
1852,Laura Nyro,1.0764471283656387
1607,John Holt,1.0755995257611892
236,Barry Adamson,1.0746440532034378
2075,Marlene Dietrich,1.072434649645312
2947,Status Quo,1.0600357781541476
1316,Helmet,1.059718681929484
1601,John Fogerty,1.058880254482067
508,Camper Van Beethoven,1.0540294546586657
1543,Jimmy Raney,1.0532011425794263
1808,Kraftwerk,1.0521593874611799
1711,Junior Murvin,1.0434492381377953
2260,MxPx,1.0358798238535385
2207,Mission of Burma,1.03396495782837
303,Bikini Kill,1.0330885468534223
2055,Marcus Miller,1.0311669679291016
2047,Manu Dibango,1.0273214140521547
3451,The Sweet Inspirations,1.0271665179239364
1176,George Carlin,1.0225032287244973
1002,Entombed,1.0177224585058786
3593,Tortoise,1.0157802406491319
491,Cab Calloway,1.0124891229534236
324,Billy Joe Shaver,1.0121994922638218
2814,Shawn Colvin,1.012089683068111
1897,Levon Helm,1.0120471350639346
1066,Fishbone,1.0087232887183073
2744,Ryuichi Sakamoto,1.0047716866266903
1950,Lord Kitchener,1.0016907590368034
1456,Jan Garbarek,1.0011902595304671
2922,Sparklehorse,0.9995289047594498
3640,Underworld,0.998127742888561
3267,The Incredible String Band,0.992147359204173
237,Barry Harris,0.9907921797876766
759,"Dave Dee, Dozy, Beaky, Mick & Tich",0.9893693893710523
2933,Split Enz,0.988106734141576
1604,John Gorka,0.9832127942626963
1417,Jack McDuff,0.9809022682868747
567,Charlie Barnet,0.9798496363196925
42,Admiral Bailey,0.976943487855058
2399,Paolo Conte,0.9765851327183723
1243,Graham Parker,0.976087064413934
2448,Peaches,0.9749720820454829
1311,Helen O'Connell,0.9742405004928941
828,Denis Leary,0.9727920666925383
3606,Translator,0.972767019765828
2684,Rocket from the Crypt,0.9716176644424085
3404,The Rubinoos,0.971063870820184
1496,Jerry Butler,0.9705376227427023
488,Busted,0.9694645369287751
1552,Jo Stafford,0.969338959125126
3043,Tadd Dameron,0.9690549336655642
371,Bob Eberly,0.9682252245281432
3019,Suzanne Vega,0.9650009179973298
2127,Mel Tillis,0.9640980835909567
2620,Redd Kross,0.9632278314395162
1060,Ferlin Husky,0.9631185669108311
194,Atomic Kitten,0.9624154399867574
2022,Madball,0.9617924270021274
1263,Guided by Voices,0.9616965870913823
1262,Guadalcanal Diary,0.9614721130323323
1578,Joe Simon,0.9591933917752012
2423,Patty Smyth,0.9591319750234397
3443,The Streets,0.9584455706400495
1069,Flaco JimÃ©nez,0.9574393035642614
3545,Titus Turner,0.9540618657360236
3412,The Selecter,0.9531782968940676
904,Down by Law,0.9531383196245506
909,Dr. Lonnie Smith,0.9519320578153432
1880,Leon Ware,0.9502834596997413
2764,Sandie Shaw,0.9500114236604409
2257,Murphy's Law,0.9492760181192905
1551,Jo Jo Gunne,0.9492113075513368
1726,Kandi,0.9488949264692624
3480,The Velvelettes,0.9486994191974564
1541,Jimmy McPartland,0.9485498769238204
2004,M People,0.9483874947331441
2052,Marcia Griffiths,0.9482526682901512
2887,Snapcase,0.9472859271321502
3570,Tommy Collins,0.9465974985062904
179,Ash,0.9428076227214182
335,Billy Thorpe,0.9413502409929297
1366,Ian Dury,0.9408950346338213
623,Chuck Jackson,0.9405426582412153
2630,Rhonda Vincent,0.9402204971690566
1192,Gerry & the Pacemakers,0.9400787440775868
410,Bono,0.9393160562547932
1084,Fontella Bass,0.9391685504367544
3797,Ã‰dith Piaf,0.9389271782119023
252,Bebo ValdÃ©s,0.9374321512264032
2728,Roy Haynes,0.9348315190140001
2571,R.L. Burnside,0.934620873285357
2999,Sugababes,0.9336266999732373
2487,Peter Rowan,0.9336103807309626
3766,Yello,0.9320107239536242
1934,Liz Story,0.931435503549424
1713,Junior Reid,0.9308131760204972
1805,Koko Taylor,0.9303011479394256
2892,Sodom,0.9286186415724923
1353,"Huey ""Piano"" Smith",0.9285250603609793
2362,Orange Juice,0.9277324308532768
3265,The Ides of March,0.9266158071553424
170,Art Blakey,0.925857893292073
2272,Naked Raygun,0.9249711356212428
3612,Tricky,0.9248688988856841
3140,The Browns,0.92446290706039
788,David Morales,0.9237836516830914
3297,The Last Poets,0.9233769491004398
1633,"Johnny ""Guitar"" Watson",0.922979039801596
222,Baden Powell,0.9226842366444509
1844,Lamont Dozier,0.9199271870268391
3508,The dB's,0.919216998975332
3034,Sylvia Telles,0.919074727141088
3154,The Charlatans,0.9184211333705916
2062,Marianne Faithfull,0.918099882769241
1945,Long John Baldry,0.916399696102068
1160,Gawvi,0.9162987831568712
306,Bill Doggett,0.9149601163679956
3642,Unearth,0.9145175514134954
1161,Geggy Tah,0.9131728228268934
3481,The Velvet Underground,0.9130864022158718
2020,Mad Cobra,0.9058750956887863
3012,Superdrag,0.9058515284720866
65,Alan Parsons,0.9040174501357333
1458,Jane Birkin,0.9029945878175738
1373,Iggy Pop,0.902505471249542
1303,Hawkshaw Hawkins,0.9022874804109258
1442,James Carr,0.8995960234509329
2519,Playero,0.8993326416752704
3089,The Abyssinians,0.8993008454630337
1782,King Curtis,0.8989208177864592
1422,Jackie McLean,0.8987368846177184
1992,Luscious Jackson,0.8967144257784535
2691,Rodney Dangerfield,0.8964694925978032
2805,SeÃ¡n Ã“ Riada,0.8960273634378063
2199,Minor Threat,0.8951513920301243
1092,Franco,0.8949928891253808
144,Annie Ross,0.8940915683864132
1395,Isaac Hayes,0.8940366974524423
3252,The Gories,0.8936324650326106
2550,Procol Harum,0.893408283252399
750,Dar Williams,0.8925735478620115
3077,Terry Reid,0.8925635198662483
251,Bebo Norman,0.8920301743304534
3722,William Bell,0.8913738968793856
2868,Slim,0.8904736489391776
761,Dave Grohl,0.890127162634296
3750,Wynona Carr,0.8891858438896155
1904,Linda Jones,0.8880214294071713
97,Allan Sherman,0.8874734704024021
1281,Hank Williams,0.8862307483210802
1947,Lonnie Mack,0.8849090073279728
3075,Terry Callier,0.8842358594748226
3101,The Apples in Stereo,0.8836823026795724
2517,Planxty,0.8835520504580597
890,Donna the Buffalo,0.8820482269763426
1368,Ian Matthews,0.8802386426939167
3257,The Heptones,0.8793564272649604
39,Adamski,0.8788020072111156
611,Chris Whitley,0.8782031258509081
1688,Joyce,0.8771013262362098
563,Charles Lloyd,0.8767020880968542
1929,Little Walter,0.8764578270943921
393,Bobby Sherman,0.8760147456896705
2793,Seaweed,0.8744001895489084
1849,Larry Norman,0.8740567995438961
1608,John Jacob Niles,0.8725573365997267
3563,Tom Scott,0.8710707661248942
2772,Sasha,0.8710085910457166
2773,Sasha,0.8710085910457166
1077,Flosstradamus,0.8705953981468008
340,Black Flag,0.8702555514267236
3199,The Deviants,0.8683152092025326
3423,The Slits,0.8679932608135271
955,Edgar Winter,0.8670687147143091
481,Bukka White,0.865745612741862
2379,Otis Spann,0.8651982107392092
3749,Wynn Stewart,0.8638105891122386
2569,R. Stevie Moore,0.863362258324911
708,Crowbar,0.8615624125948683
68,Albert Collins,0.861142119230214
1367,Ian Hunter,0.8603731162621482
2366,"Orlando ""Cachaito"" Lopez",0.8584657213404807
2807,Shadows Fall,0.8584526350508599
612,Chrissie Hynde,0.8578279975546269
1348,Howlin' Wolf,0.8564039584323221
2500,Phil Woods,0.8554802912497468
31,Abbey Lincoln,0.8536190852230156
248,BeBe Winans,0.8528670797730418
2719,Roxy Music,0.8528406907007622
486,Burt Bacharach,0.8525386929687361
